prefecture_code,sma_code,area_name,online_primary_count,standard_base_count,online_per_10000_standard_base,online_primary_missing_components
28,2810,淡路,63.333333333333336,1540022.6666666667,0.4112493582345541,1
30,3006,田辺,61.666666666666664,1361697.3333333333,0.4528661777996677,1
01,0115,留萌,58.666666666666664,346422.0,1.6935029145570046,1
25,2507,湖西,56.333333333333336,490834.6666666667,1.1477048619222765,1
40,4011,田川,56.0,1501770.6666666667,0.3728931536816984,1
26,2603,南丹,55.0,1194418.6666666667,0.46047505397325783,1
21,2104,東濃,54.666666666666664,3677384.0,0.14865639994807903,2
42,4209,対馬,49.0,228306.33333333334,2.1462391903276155,1
30,3004,有田,47.666666666666664,778923.3333333334,0.6119558193574891,1
05,0506,大仙・仙北,47.333333333333336,1241188.6666666667,0.3813548625162008,2
10,1005,藤岡,46.0,726798.3333333334,0.6329128437737198,2
44,4409,北部,45.666666666666664,1919563.3333333333,0.23790132825347432,2
10,1009,桐生,45.333333333333336,1737098.6666666667,0.2609715510306841,1
15,1501,下越,44.666666666666664,2112053.3333333335,0.21148455847074565,2
43,4306,阿蘇,44.333333333333336,421058.0,1.0529032421503293,1
33,3305,津山・英田,42.666666666666664,1838549.3333333333,0.232067020955652,2
40,4007,八女・筑後,41.333333333333336,1679634.6666666667,0.24608525981046672,2
16,1604,砺波,39.666666666666664,1102665.6666666667,0.35973430447488314,2
15,1507,佐渡,38.666666666666664,459713.3333333333,0.8411038763287265,2
05,0501,大館・鹿角,37.0,983567.0,0.37618179544454017,2
30,3005,御坊,36.0,767203.6666666666,0.4692365477919596,1
18,1802,奥越,33.0,465893.3333333333,0.7083166390017744,1
40,4009,飯塚,30.666666666666668,2320119.0,0.13217712827086311,3
38,3805,八幡浜・大洲,28.666666666666668,1539312.6666666667,0.1862303045211954,1
34,3407,備北,27.333333333333332,1044583.6666666666,0.2616672479721586,1
43,4305,菊池,26.333333333333332,1814453.6666666667,0.1451309218697786,1
09,0904,県東,24.666666666666668,1281848.6666666667,0.1924304117022654,1
06,0602,最上,24.333333333333332,660156.6666666666,0.3685993728761354,1
39,3903,高幡,24.0,366149.6666666667,0.655469666775608,1
