year,prefecture_code,prefecture_name,sma_code,sma_name,reporting_facilities,facilities_with_observed_online_use,facilities_with_suppressed_online_component,observed_online_patient_days,top1_share_observed_pct,top2_share_observed_pct,top5_share_observed_pct,hhi_observed
2022,05,秋田県,0504,秋田周辺,34.0,2.0,0.0,615.0,97.07317073170731,100.0,100.0,9431.766805472933
2022,27,大阪府,2707,泉州,69.0,3.0,4.0,608.0,87.00657894736842,95.72368421052632,100.0,7664.41958102493
2022,46,鹿児島県,4607,姶良・伊佐,75.0,3.0,1.0,591.0,70.38917089678512,92.55499153976312,100.0,5501.38713528649
2022,13,東京都,1303,区西南部,78.0,2.0,2.0,547.0,96.3436928702011,100.0,100.0,9295.475737695057
2022,11,埼玉県,1104,さいたま,57.0,4.0,0.0,541.0,82.62476894639556,90.20332717190388,100.0,6935.161489813141
2022,20,長野県,2005,飯伊,12.0,1.0,1.0,534.0,100.0,100.0,100.0,10000.0
2022,24,三重県,2403,南勢志摩,39.0,2.0,2.0,534.0,76.59176029962546,100.0,100.0,6414.2434316654735
2022,12,千葉県,1207,安房,24.0,2.0,2.0,511.0,95.49902152641879,100.0,100.0,9140.321919723041
2022,02,青森県,0202,八戸地域,41.0,3.0,1.0,499.0,61.923847695390776,96.9939879759519,100.0,5073.513760988912
2022,09,栃木県,0906,両毛,24.0,1.0,0.0,492.0,100.0,100.0,100.0,10000.0
2022,14,神奈川県,1405,川崎南部,26.0,2.0,0.0,488.0,91.59836065573771,100.0,100.0,8460.847218489653
2022,01,北海道,0119,十勝,46.0,1.0,1.0,480.0,100.0,100.0,100.0,10000.0
2022,08,茨城県,0802,日立,22.0,2.0,0.0,476.0,76.68067226890757,100.0,100.0,6423.716545441706
2022,11,埼玉県,1103,東部,68.0,2.0,3.0,466.0,96.78111587982833,100.0,100.0,9376.945605923853
2022,28,兵庫県,2805,北播磨,25.0,1.0,2.0,457.0,100.0,100.0,100.0,10000.0
2022,10,群馬県,1010,太田・館林,23.0,1.0,0.0,441.0,100.0,100.0,100.0,10000.0
2022,02,青森県,0203,青森地域,42.0,5.0,2.0,439.0,62.64236902050114,82.68792710706151,100.0,4459.03663845663
